#,Question,Category,Recommendation,Priority,NIST,ASD8,Review 1,Context,Review 2,Probability,Impact,Actor Risk Type,Risk,Comments,,,,,,,,,,,,,,,,,,
1,Do you have a company wide cyber security policy?,Cyber Security Overview,,,Identify,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,
2,Do you have any cyber security awareness posters around the office?,Cyber Security Overview,,,Identify,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,
3,Do you have an internal person and/or external company who is responsible for your organisations cyber security?,Cyber Security Overview,,,Identify,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,
4,How often is cyber security discussed at a management / board level?,Cyber Security Overview,,,Identify,,Often,,,,,,,,,,,,,,,,,,,,,,,,,
5,Do you currently have cyber insurance?,Cyber Security Overview,,,Identify,,Yes,,,Medium,High,,,,,,,,,,,,,,,,,,,,,
6,Has your organisation ever experienced a cyber security incident?,Cyber Security Overview,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
7,Do you have a formal Information Security (IS) document which lists confidential information to your organisation and how this information should be handled by staff?,Information Security,https://publish.obsidian.md/toolkit/2.+Information+Security+Guide/2.1+Information+Security,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Do you have a simple process to audit 3rd parties for their cyber security resilience before sharing confidential information?
",Information Security,https://publish.obsidian.md/toolkit/2.+Information+Security+Guide/2.1+Information+Security,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Have you identified mission critical information and services that would cause significant disruption to your business, if interrupted or lost?",Information Security,https://publish.obsidian.md/toolkit/2.+Information+Security+Guide/2.1+Information+Security,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
10,Do you have an inventory of all devices / phones / computers and details of what confidential information each holds?,Information Security,https://publish.obsidian.md/toolkit/2.+Information+Security+Guide/2.1+Information+Security,,Identify,,Yes,,,,Medium,,,,,,,,,,,,,,,,,,,,,
11,"Do you have encryption enabled on all devices, and a policy to ensure that all new devices have encryption enabled by default.",Device Security,https://publish.obsidian.md/toolkit/9.+Device+Security/9.2+Enforce+Data+Encryption,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12,Do you have a formal process when disposing of old computers or mobile phones?,Device Security,https://publish.obsidian.md/toolkit/9.+Device+Security/9.1+Device+End+Of+Life+Guide,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
13,Do you centralise management and configuration of all computers?,Device Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
14,Do you have network segmentation implemented to separate critical areas from non-critical areas? (such as BYOD Wi-Fi networks),Network & Wi-Fi Security,,,Identify,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,
15,Do you regularly change access details for all networking devices?,Network & Wi-Fi Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
16,Do you monitor network traffic for abnormal activity?,Network & Wi-Fi Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
17,Do you store access and activity logs for network devices?,Network & Wi-Fi Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
18,Have you performed a penetration test in the past 18 months?,Network & Wi-Fi Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
19,Do you have any intrusion detection / prevention systems in place?,Network & Wi-Fi Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
20,Do you have restrictions to limit what type of applications an employee can run on their company computers?,Software & Application Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
21,Do you have an internal or external provider regularly applying software patches / system updates?,Software & Application Security,,,Identify,,No,,Unsure,,,,,,,,,,,,,,,,,,,,,,,
22,Have you disabled default macro functions in Microsoft Office applications? (eg: Excel / Word / Powerpoint),Software & Application Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
23,Have you investigated application specific settings to harden default security settings? (eg. web browsers and operating systems),Software & Application Security,,,Identify,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,
24,"If you use cloud storage for any documents (eg: Dropbox, Google Drive), do you have two-factor authentication enabled?",Authentication & Passwords,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
25,"If you use a cloud based CRM, do you have two-factor enabled?",Authentication & Passwords,,,Identify,,No,,No,,,,,,,,,,,,,,,,,,,,,,,
26,Do you use a password manager?,Authentication & Passwords,,,Identify,,Yes,,Yes,,High,,,,,,,,,,,,,,,,,,,,,
27,Do you enforce the use of strong and unique passwords?,Authentication & Passwords,,,Identify,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,
28,Do you have a policy or process around how removable media (eg: USB drives) should be used and what information can be copied onto these drives?,Removeable Media,https://publish.obsidian.md/toolkit/12.+Removable+Media/12.2+Removable+Media+(USB%2C+CDs%2C+Network+Storage),,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
29,Has autoplay for removable media been diabled on work machines?,Removeable Media,https://publish.obsidian.md/toolkit/12.+Removable+Media/12.1+Disable+Auto-Play+For+Removable+Media,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
30,Do you enforce two-factor for webmail access?,Email Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
31,Do you have SPAM and anti-virus filtering enabled for inbound email?,Email Security,,,Identify,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,
32,Do you have an acceptable email use policy?,Email Security,,,Identify,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,
33,"Do you have outgoing policies in place to ensure large volumes of data (eg. excel, zip files) can not be sent?",Email Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
34,Do you have website filters in place to restrict access to websites that may be harmful to your organisation? (eg: torrents / gambling),Internet Use & Browser Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
35,Do you have an acceptable internet use policy?,Internet Use & Browser Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
36,Do you have an active anti-virus service?,Endpoint Protection,,,Identify,,Yes,,,,High,,,,,,,,,,,,,,,,,,,,,
37,Is the anti-virus centrally managed and are updates applied regularly?,Endpoint Protection,,,Identify,,No,,,,High,,,,,,,,,,,,,,,,,,,,,
38,Do you have an offline copy of critical domain name details? (eg: renewal dates / domain keys),Website Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
39,Do you have an offline copy of critical website hosting details? (eg: server location / FTP access details),Website Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
40,Do you complete regular malware scans of your website?,Website Security,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
41,Is user data collected from your website stored securely?,Website Security,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
42,Are you confident that staff are cyber aware and understand cyber risks to the organisation?,Staff Security Awareness,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
43,Would staff know how to identify a spear phishing email?,Staff Security Awareness,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
44,Have staff ever completed cyber security training?,Staff Security Awareness,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
45,Do you have a VPN setup for staff to connect to the office remotely?,Remote Working,,,Identify,,Yes,,,,High,,,,,,,,,,,,,,,,,,,,,
46,Do you have guidelines for staff to use their personal computers to access your organisations systems and data?,Remote Working,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
47,Do you have a recovery plan of who is responsible for what and who has access to recovery data?,Disaster Recovery,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
48,Do you perform regular backups of computers and servers?,Disaster Recovery,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
49,Do you test the integrity of backups on a regular basis?,Disaster Recovery,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
50,Are you aware of what notification is required to send to customers should you experience a breach?,Incident Response,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
51,Do you maintain computer / server logs to investigate a breach should one occur?,Incident Response,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
52,Do you have a basic plan of action (incident response plan) which outlines roles and responsibilities should you experience a cyber incident?,Incident Response,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
53,Have you specifically investigated your legal risk relating to cyber security?,Incident Response,,,Identify,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
54,Have you specifically investigated your regulatory obligations with relation to cyber security?,Incident Response,,,Identify,,No,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
