Guideline,Section,Topic,Identifier,Revision,Updated,All,OS,P,S,TS,ML1,ML2,ML3,Description,Responsible Entity,Implementation Status,Implementation Comments
Guidelines for Cyber Security Roles,Chief Information Security Officer,Providing cyber security leadership and guidance,ISM-0714,5,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,A CISO is appointed to provide cyber security leadership and guidance for their organisation.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing the cyber security program,ISM-1478,1,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation.",,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing the cyber security program,ISM-1617,0,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing the cyber security program,ISM-0724,2,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Coordinating cyber security,ISM-0725,3,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis.",,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Coordinating cyber security,ISM-0726,2,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO coordinates security risk management activities between cyber security and business teams.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Reporting on cyber security,ISM-0718,3,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO reports directly to their organisation’s senior executive or Board on cyber security matters.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing cyber security incident response activities,ISM-0733,2,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO is fully aware of all cyber security incidents within their organisation.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing cyber security incident response activities,ISM-1618,0,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO oversees their organisation’s response to cyber security incidents.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Contributing to business continuity and disaster recovery planning,ISM-0734,4,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO contributes to the development, implementation and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.",,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Communicating a cyber security vision and strategy,ISM-0720,3,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO oversees the development, implementation and maintenance of a cyber security communications strategy to assist in communicating the cyber security vision and strategy for their organisation.",,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Working with suppliers,ISM-0731,2,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO oversees cyber supply chain risk management activities for their organisation.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Receiving and managing a dedicated cyber security budget,ISM-0732,2,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO receives and manages a dedicated cyber security budget for their organisation.,,,
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing cyber security personnel,ISM-0717,2,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO oversees the management of cyber security personnel within their organisation.,,,
